"","countries","new_domexp","anthonyMan","ManualExtrap","AnthonyNeeds","ExtrapExpRish","ManualExtrapRishman","RishmanNeeds","EmExtrapExp","Wise_Manual_Exp","EmNeeds"
"47","Brunei Darussalam",NA,18154677.9765751,18154677.9765751,30772846.0255402,9892665.32310931,18154677.9765751,36131533.8366327,23147923.5247717,23147923.5247717,104391035.881519
"48","Cameroon",NA,25077185.6479612,25077185.6479612,41890212.2458449,15194711.0926865,25077185.6479612,20449830.7764995,8240038.22285835,8240038.22285835,84276815.8579943
"49","Chile",58599000,854385579.12807,58599000,94200156.1983042,599033988.700522,58599000,578050184.559782,246884839.758314,58599000,406264404.864892
"50","China",1.7e+10,4462097470.39497,1.7e+10,21146010865.9111,4637268333.50577,1.7e+10,8477087974.44871,11500186680.1019,1.7e+10,15589597562.0331
"51","Colombia",226222000,544909950.692132,226222000,342107215.221739,608601804.755207,226222000,1091167560.16066,1018202113.85104,226222000,1446951601.26121
"52","Costa Rica",194300000,67364121.8397041,194300000,295861321.196621,47669324.9925664,194300000,49425121.2092727,48470880.2319338,194300000,138557620.3795
"53","Cote d'Ivoire",32222000,30379198.9079437,32222000.0000001,53218408.8756449,39333469.2128867,32222000.0000001,57550397.6413092,25794580.37626,32222000,107961994.281016
"54","Cuba",NA,41605862.6033725,41605862.6033725,67927133.0195094,NA,41605862.6033725,NA,41854876.4149211,41854876.4149211,129631085.612373
"55","Dominica",NA,1417615.87111234,1417615.87111234,2696664.38661712,1171048.79144191,1417615.87111234,1091982.61519792,8760478.8332219,8760478.8332219,84979011.8257005
"56","Dominican Republic",NA,20793763.3136406,20793763.3136406,35030484.1604691,19265351.783845,20793763.3136406,18669749.0969137,23099424.8323802,23099424.8323802,104325599.815312
"57","Ecuador",126621000,77592162.4756986,126621000,196576884.603643,70303694.1609591,126621000,166248595.526095,131695398.750354,126621000,250846938.611412
"58","Egypt",6635000,NA,6635000,11770428.9894017,30542731.5172586,6635000,32984913.711394,15070909.7164328,6635000,93493257.3177729
"59","El Salvador",NA,10067336.0524763,10067336.0524763,17525722.9992204,13237187.7973836,10067336.0524763,11388925.818367,15120053.678727,15120053.678727,93559564.0038248
"60","Eswatini",1660000,NA,1660000,3135276.99721871,6178587.8416388,1660000,5219175.06570839,13969059.2033698,1660000,92006603.5634715
